Ref,Val,Package,PosX,PosY,Rot,Side
"R58","10K","R_0603_1608Metric",198.506300,-57.660600,180.000000,top
"R59","2.2K","R_0603_1608Metric",190.675000,-62.700000,180.000000,top
"R60","10K","R_0603_1608Metric",203.700000,-47.375000,180.000000,top
"R61","12K","R_0603_1608Metric",203.650000,-55.486600,-90.000000,top
"R63","10k","R_0603_1608Metric",156.700000,-130.275000,90.000000,top
"R65","1k","R_0603_1608Metric",155.200000,-130.275000,90.000000,top
"R66","200","R_0603_1608Metric",184.225000,-122.087500,-90.000000,top
"R67","10k","R_0603_1608Metric",173.250000,-136.912500,90.000000,top
"R68","2.7k","R_0603_1608Metric",174.798600,-136.913900,-90.000000,top
"R69","200","R_0603_1608Metric",182.725000,-132.587500,-90.000000,top
"R70","10k","R_0603_1608Metric",158.850000,-47.525000,90.000000,top
"R71","10k","R_0603_1608Metric",161.400000,-47.525000,90.000000,top
"R72","0","R_0603_1608Metric",184.175000,-136.912500,-90.000000,top
"R73","DNP","R_0603_1608Metric",179.675000,-136.900000,-90.000000,top
"R74","10k","R_0603_1608Metric",182.675000,-136.912500,-90.000000,top
"R75","2.7k","R_0603_1608Metric",181.175000,-136.912500,90.000000,top
"R76","10k","R_0603_1608Metric",163.700000,-47.600000,-90.000000,top
"R77","1k","R_0603_1608Metric",173.525000,-48.100000,0.000000,top
"T1","WE-RJ45_7499111221A","7499111221A",192.655000,-122.875000,90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",179.374800,-62.940700,0.000000,top
"U2","AMS1117-1.8","SOT-223-3_TabPin2",203.575000,-79.525000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",144.550000,-131.425000,90.000000,top
"U4","AMS1117-2.5","SOT-223-3_TabPin2",211.925000,-90.525000,0.000000,top
"U5","AMS1117-3.3","SOT-223-3_TabPin2",150.200000,-50.500000,-90.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",179.225000,-53.600000,0.000000,top
"U9","FT2232HQ","QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm",195.271300,-50.659600,180.000000,top
"UART_RX1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",212.200000,-80.600000,0.000000,top
"UART_TX1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",211.700000,-75.600000,0.000000,top
"Y1","25MHz","ABM3",180.474100,-116.224300,180.000000,top
"Y2","12MHz","ABM3",201.130300,-60.769700,0.000000,top
